Model,accuracy,precision,recall,f1_score,roc_auc,pr_auc,mcc,brier_score
Random Forest,0.9822580645161291,0.9738461538461538,0.975346687211094,0.9745958429561201,0.9981398047431161,0.9967744746151702,0.9609657965541687,0.014421196910661432
Gradient Boosting,0.9736559139784946,0.9643962848297214,0.9599383667180277,0.9621621621621622,0.996609151600824,0.9943417128516535,0.9419620908980779,0.01948184042897188
Logistic Regression,0.8602150537634409,0.8479427549194991,0.7303543913713405,0.7847682119205298,0.9376898207112766,0.8947157094155297,0.6862810575560834,0.0981907298129307
MLP Neural Network,0.9811827956989247,0.9781931464174455,0.9676425269645609,0.9728892331525949,0.9958037455833086,0.993802488623564,0.9585137073775617,0.014881291386545016
Support Vector Machine,0.9333333333333333,0.8923766816143498,0.9198767334360555,0.9059180576631259,0.9790327239136879,0.9673965541692368,0.8545487714605345,0.04924244003135004
